name,weight_class,current_rating,peak_rating,current_streak,best_streak
Aaron Brink,Heavyweight,1259.0284742287704,1259.0284742287704,-1,0
Alex Stiebling,Middleweight,1259.0284742287704,1259.0284742287704,-1,0
Andrei Arlovski,Heavyweight,1481.7442172602907,2372.4896282114155,-4,7
Ben Earwood,Welterweight,1740.9715257712296,1740.9715257712296,1,1
Chris Lytle,Welterweight,1923.4199276969525,1966.2043805497015,1,4
Gan McGee,Heavyweight,1697.0192357459907,1804.1502303143525,-1,2
Jens Pulver,Lightweight,1539.6653069110885,2052.1620458527677,-2,4
John Lewis,Lightweight,1359.7392183297336,1359.7392183297336,-1,0
Josh Barnett,Heavyweight,2047.35066495084,2379.4901638540446,1,4
Kevin Randleman,Light Heavyweight,1510.0957794611772,1510.0957794611772,1,1
Mark Hughes,Middleweight,1640.2607816702664,1640.2607816702664,1,1
Maurice Smith,Heavyweight,1331.326979935484,1331.326979935484,-1,0
Randy Couture,Light Heavyweight,1855.8226183612094,2157.737322044403,-1,3
Renato Sobral,Light Heavyweight,1717.3338094903863,1832.4782639515515,1,3
Chuck Liddell,Light Heavyweight,1672.151438796588,2255.675170922714,-3,7
Daiju Takase,Welterweight,1259.0284742287704,1259.0284742287704,-1,0
Dennis Hallman,Lightweight,2001.3055599444983,2021.1768974039587,1,2
Evan Tanner,Middleweight,1632.046324932619,2004.3349736103835,-2,4
Fabiano Iha,Lightweight,1350.2759630775174,1767.6351753257568,-2,2
Jeff Monson,Heavyweight,1846.4446075663948,1989.6860643499185,-1,3
Kenichi Yamamoto,Welterweight,1259.0284742287704,1259.0284742287704,-1,0
Lance Gibson,Middleweight,1359.7392183297336,1359.7392183297336,-1,0
Matt Hughes,Welterweight,1883.5617330660994,2232.7452828353375,-2,6
Matt Lindland,Middleweight,1875.676183009633,1918.2977530877877,2,4
Pat Miletich,Middleweight,1560.1033239269486,1640.2607816702664,-1,1
Tito Ortiz,Light Heavyweight,1682.346512801099,2045.4882192894534,-3,5
Yoji Anjo,Middleweight,1359.7392183297336,1359.7392183297336,-1,0
Yuki Kondo,Light Heavyweight,1224.9176262904407,1359.7392183297336,-2,0
Caol Uno,Lightweight,1445.0099911692776,1799.3813845284267,-3,2
Curtis Stout,Middleweight,1116.9508592295642,1259.0284742287704,-2,0
Elvis Sinosic,Light Heavyweight,1222.0421354771975,1740.9715257712296,-6,1
Jeremy Horn,Middleweight,1402.9402012257106,1921.0095650721564,-3,2
Pedro Rizzo,Heavyweight,1708.3229865849898,1724.8014014565742,2,2
Phil Baroni,Middleweight,1179.649547887729,1741.678920257987,-6,2
Phil Johns,Welterweight,1370.276706971255,1370.276706971255,-1,0
Sean Sherk,Lightweight,1951.9431645151676,2077.269920467227,1,3
Tiki Ghosn,Welterweight,1088.1116267046118,1359.7392183297336,-3,0
BJ Penn,Lightweight,1432.756323239806,2256.3607872157413,-7,3
Carlos Newton,Welterweight,1503.8609251166226,1724.8014014565742,-1,1
Joey Gilbert,Lightweight,1359.7392183297336,1359.7392183297336,-1,0
Matt Serra,Welterweight,1685.6584029511139,1818.1068098992582,-1,2
Pete Williams,Heavyweight,1177.2911201354405,1259.0284742287704,-3,0
Ricardo Almeida,Welterweight,1841.5733504070845,2023.280939464773,-1,3
Semmy Schilt,Heavyweight,1437.1469065814354,1640.2607816702664,-1,1
Shonie Carter,Welterweight,1200.414272984875,1640.2607816702664,-3,1
Steve Berger,Welterweight,1187.6621385130218,1259.0284742287704,-2,0
Tony DeSouza,Welterweight,1406.5032025748026,1780.4649560743967,-2,2
Din Thomas,Lightweight,1550.0523225774882,1883.3938785248308,-2,4
Paul Rodriguez,Welterweight,1370.276706971255,1370.276706971255,-1,0
Ricco Rodriguez,Heavyweight,1629.22527537422,1952.4339590307022,-2,5
Vladimir Matyushenko,Light Heavyweight,1745.6811461839015,1950.4240839774855,-2,2
Bobby Hoffman,Heavyweight,1351.5004192846584,1351.5004192846584,-1,0
Dave Menne,Welterweight,1198.1709174723958,1740.9715257712296,-4,1
Eugene Jackson,Middleweight,1401.3689648966322,1562.4778682337167,-1,1
Frank Mir,Heavyweight,1884.6483329348212,2101.919277282698,-2,4
Gil Castillo,Welterweight,1517.7830703655147,1578.3933985487972,-1,1
Homer Moore,Light Heavyweight,1323.7159675063442,1323.7159675063442,-1,0
Jutaro Nakao,Welterweight,1709.4040274554459,1827.3742770802771,-1,1
Murilo Bustamante,Middleweight,1835.9252082949254,1835.9252082949254,2,2
Roberto Traven,Heavyweight,1359.7392183297336,1359.7392183297336,-1,0
Yves Edwards,Lightweight,1380.6428780386739,1907.18207739703,-4,6
Amar Suloev,Middleweight,1308.7675787076853,1425.1285927688991,-2,0
Andrei Semenov,Middleweight,1570.6426938124996,1809.7429280107506,-1,1
Chris Brennan,Welterweight,1270.616147058498,1270.616147058498,-1,0
Keith Rockel,Middleweight,1547.1012557901813,1547.1012557901813,1,1
Hayato Sakurai,Welterweight,1385.8312866217962,1385.8312866217962,-1,0
Kelly Dullanty,Lightweight,1289.1634023689899,1289.1634023689899,-1,0
Aaron Riley,Lightweight,1414.3230110785569,1715.779109098528,-2,1
Ivan Salaverry,Middleweight,1315.844448819431,1895.078847929442,-3,2
Paul Creighton,Lightweight,1422.5862615557517,1422.5862615557517,-1,0
Robbie Lawler,Welterweight,1875.9264471276165,2412.806347638851,1,5
Tsuyoshi Kohsaka,Heavyweight,1406.6802423546917,1406.6802423546917,-1,0
Benji Radach,Welterweight,1668.8934237439023,1740.9715257712296,-1,1
Chris Haseman,Light Heavyweight,1404.7369074488188,1404.7369074488188,-1,0
Genki Sudo,Lightweight,1652.6531652106748,1740.9715257712296,1,1
Ian Freeman,Heavyweight,1508.0204500397622,1793.2162746899369,-1,1
James Zikic,Light Heavyweight,1259.0284742287704,1259.0284742287704,-1,0
Joao Pierini,Lightweight,1165.106232346937,1165.106232346937,-1,0
Leigh Remedios,Lightweight,1359.7392183297336,1359.7392183297336,-1,0
Mark Weir,Middleweight,1387.9535586838972,1722.3180992620091,-2,1
Nick Serra,Welterweight,1359.7392183297336,1359.7392183297336,-1,0
Pete Spratt,Welterweight,1351.512778338588,1740.9715257712296,-2,1
Phillip Miller,Middleweight,1794.4374400214328,1794.4374400214328,2,2
Rodrigo Ruas,Middleweight,1259.0284742287704,1259.0284742287704,-1,0
Tony Fryklund,Middleweight,1463.610353012825,1640.2607816702664,-1,1
Vitor Belfort,Middleweight,1916.2767768205233,2336.99650290094,-1,3
Zach Light,Welterweight,1359.7392183297336,1359.7392183297336,-1,0
Tim Sylvia,Heavyweight,1966.237351305746,2110.871867292847,-1,5
Wesley Correira,Heavyweight,1566.3043972603787,1646.0764092270654,-1,2
Ken Shamrock,Light Heavyweight,1552.4464462743067,1797.6509213581928,-3,1
Travis Wiuff,Light Heavyweight,1239.0365982803114,1346.105536157148,-2,0
Alexandre Dantas,Heavyweight,1385.620516754575,1385.620516754575,-1,0
David Abbott,Heavyweight,1169.5849726258293,1318.9381397004113,-3,0
Rich Clementi,Lightweight,1585.9985028977346,1754.0447314366645,-2,4
Dave Strasser,Welterweight,1490.4784118428358,1740.9715257712296,-1,1
David Loiseau,Middleweight,1293.0928374261462,1920.547930360794,-4,3
Duane Ludwig,Welterweight,1443.6775168689069,1936.010389559337,-3,2
Hermes Franca,Lightweight,1685.2920788110764,1979.5360068680293,-1,3
Rich Franklin,Middleweight,1800.8828559461917,2264.591539643885,-1,7
Richard Crunkilton,Lightweight,1359.7392183297336,1359.7392183297336,-1,0
Romie Aram,Welterweight,1359.7392183297336,1359.7392183297336,-1,0
Sean Alvarez,Heavyweight,1279.677763206774,1279.677763206774,-1,0
Eddie Ruiz,Lightweight,1317.246875614415,1317.246875614415,-1,0
Falaniko Vitale,Middleweight,1728.126833586845,1988.7892696360425,-1,1
Kimo Leopoldo,Heavyweight,1482.947987451587,1619.9818395561124,-1,1
Marvin Eastman,Middleweight,1339.4633225817372,1497.0762274658043,-1,1
Tra Telligman,Heavyweight,1200.1546522089488,1231.7892660771688,-2,0
Vernon White,Light Heavyweight,1465.3813802546183,1505.3048801579537,-1,0
Wes Sims,Heavyweight,1334.1402393011433,1562.671741162592,-3,0
Edwin DeWees,Middleweight,1147.972459841403,1436.6868280246329,-3,0
Gerald Strebendt,Lightweight,1259.0284742287704,1259.0284742287704,-1,0
Jeremy Jackson,Welterweight,1142.036805538451,1259.0284742287704,-2,0
